ID,NIVEL 1,NIVEL 2,NIVEL 3,NIVEL 4,NIVEL 5,NIVEL 6,TIPO DE EMISSAO,GÁS,TERRITÓRIO,IBGE,MUNICIPIO,ATIVIDADE ECONÔMICA,PRODUTO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200427,AC - Rodrigues Alves,SANEAMENTO,NA,0,0,0,0,"0,01","0,01","0,01","0,02","0,02","0,02","0,04","0,03","0,03","0,02","0,02","0,03","0,03","0,08","0,04","0,04","0,04","0,07","0,1","0,06","0,09","0,09","0,08","0,1","0,1","0,11"
40,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200435,AC - Santa Rosa do Purus,SANEAMENTO,NA,0,0,0,0,0,0,0,0,0,0,"0,01","0,01","0,01","0,01","0,01","0,02","0,03","0,06","0,04","0,04","0,04","0,07","0,1","0,06","0,08","0,08","0,07","0,08","0,08","0,09"
41,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200500,AC - Sena Madureira,SANEAMENTO,NA,0,"0,01","0,02","0,03","0,05","0,06","0,09","0,11","0,14","0,17","0,26","0,21","0,16","0,11","0,13","0,17","0,18","0,38","0,21","0,21","0,19","0,35","0,47","0,28","0,41","0,41","0,35","0,43","0,43","0,45"
42,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200450,AC - Senador Guiomard,SANEAMENTO,NA,0,"0,01","0,02","0,04","0,06","0,08","0,11","0,14","0,17","0,2","0,33","0,26","0,19","0,13","0,16","0,21","0,2","0,45","0,24","0,25","0,21","0,38","0,49","0,3","0,44","0,45","0,38","0,46","0,47","0,49"
43,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200609,AC - Tarauacá,SANEAMENTO,NA,0,0,0,"0,01","0,01","0,02","0,03","0,03","0,04","0,05","0,08","0,07","0,06","0,04","0,06","0,08","0,09","0,2","0,12","0,13","0,12","0,23","0,3","0,18","0,26","0,27","0,23","0,27","0,28","0,29"
44,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,N2O (t),AC,1200708,AC - Xapuri,SANEAMENTO,NA,0,0,0,"0,01","0,01","0,02","0,02","0,03","0,04","0,05","0,08","0,06","0,05","0,04","0,04","0,06","0,06","0,15","0,08","0,09","0,08","0,14","0,19","0,11","0,17","0,17","0,15","0,18","0,18","0,19"
45,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CO2 (t),AC,1200013,AC - Acrelândia,SANEAMENTO,NA,0,0,"7,64","15,2","23,73",32,"42,62","54,44","65,9","80,2","128,39","105,22","80,16","56,04","80,46","108,29","113,47","234,77","128,49","135,27","115,37","209,02","273,92","165,14","247,99","249,95","214,24","255,86","257,58","271,7"
46,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CO2 (t),AC,1200054,AC - Assis Brasil,SANEAMENTO,NA,"0,47","0,72","1,44","2,57","3,85","5,28","6,87","8,65","10,6","12,76","21,3","18,39","14,78","11,12","18,31","25,39","27,33","65,87","38,04","41,27","40,07","72,36","95,62","56,28","84,84","86,02","74,71","87,56","89,1","95,41"
47,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CO2 (t),AC,1200104,AC - Brasiléia,SANEAMENTO,NA,"3,23","5,02","9,36","17,54","29,46","40,02","51,79","64,85","82,71","98,78","155,79","128,1","98,46",68,"76,68","102,58","106,44","242,82","135,66","142,72","128,39","229,62","299,92","180,79","271,02","277,56","240,54","285,88","289,84","303,35"
48,Resíduos ,Resíduos Sólidos,Incineração ou queima a céu aberto,Queima de Resíduos a Céu Aberto,Resíduos Sólidos Urbanos,NA,Emissão,CO2 (t),AC,1200138,AC - Bujari,SANEAMENTO,NA,0,0,"4,81","10,3","15,59","21,53","28,16","35,53","43,68","52,61","83,58","71,02","54,61","38,6","53,11","73,15","77,39","125,02","67,68","70,04","74,53","137,79","177,51","106,63","159,52","161,27","137,89","162,57","166,74","176,06"
